1.000000000000000000e+00 1.000000000000000000e+00 4.345111366831353017e+00
1.500000000000000000e+00 1.500000000000000000e+00 1.434908603366366497e+00
2.000000000000000000e+00 2.000000000000000000e+00 6.361985840373165502e-01
2.500000000000000000e+00 2.500000000000000000e+00 3.340024022644567103e-01
3.000000000000000000e+00 3.000000000000000000e+00 1.957996560534656372e-01
3.500000000000000000e+00 3.500000000000000000e+00 1.385258256625769013e-01
4.000000000000000000e+00 4.000000000000000000e+00 9.383651413536051034e-02
4.500000000000000000e+00 4.500000000000000000e+00 6.631971931416177912e-02
5.000000000000000000e+00 5.000000000000000000e+00 4.852851748544811938e-02
5.500000000000000000e+00 5.500000000000000000e+00 3.655201299100605677e-02
6.000000000000000000e+00 6.000000000000000000e+00 2.820349638102062281e-02
6.500000000000000000e+00 6.500000000000000000e+00 2.220997738717359754e-02
7.000000000000000000e+00 7.000000000000000000e+00 1.780055091825408567e-02
7.500000000000000000e+00 7.500000000000000000e+00 1.448742815644067823e-02
8.000000000000000000e+00 8.000000000000000000e+00 1.195157788407834494e-02
8.500000000000000000e+00 8.500000000000000000e+00 9.978716815982651561e-03
9.000000000000000000e+00 9.000000000000000000e+00 8.421564479925315941e-03
9.500000000000000000e+00 9.500000000000000000e+00 7.176544373920063294e-03
1.000000000000000000e+01 1.000000000000000000e+01 6.169406206630732165e-03
1.050000000000000000e+01 1.050000000000000000e+01 5.346126774567310121e-03
1.100000000000000000e+01 1.100000000000000000e+01 4.667001653681892084e-03
1.150000000000000000e+01 1.150000000000000000e+01 4.102126098442990948e-03
1.200000000000000000e+01 1.200000000000000000e+01 3.628643704862098782e-03
1.250000000000000000e+01 1.250000000000000000e+01 3.228908328217163035e-03
1.300000000000000000e+01 1.300000000000000000e+01 2.889166827095882538e-03
1.350000000000000000e+01 1.350000000000000000e+01 2.598604410361742001e-03
1.400000000000000000e+01 1.400000000000000000e+01 2.348645369597170910e-03
1.450000000000000000e+01 1.450000000000000000e+01 2.132435681310461406e-03
1.500000000000000000e+01 1.500000000000000000e+01 1.944456496715690069e-03
1.550000000000000000e+01 1.550000000000000000e+01 1.780240667976002843e-03
1.600000000000000000e+01 1.600000000000000000e+01 1.636167091836471807e-03
1.650000000000000000e+01 1.650000000000000000e+01 1.509257640594877667e-03
1.700000000000000000e+01 1.700000000000000000e+01 1.397042973152371869e-03
1.750000000000000000e+01 1.750000000000000000e+01 1.297465277309688050e-03
1.800000000000000000e+01 1.800000000000000000e+01 1.208801392838712314e-03
1.850000000000000000e+01 1.850000000000000000e+01 1.129601703801893977e-03
1.900000000000000000e+01 1.900000000000000000e+01 1.058641302141202388e-03
1.950000000000000000e+01 1.950000000000000000e+01 9.948807538741495909e-04
2.000000000000000000e+01 2.000000000000000000e+01 9.374344203868956605e-04
2.050000000000000000e+01 2.050000000000000000e+01 8.855408746428773117e-04
2.100000000000000000e+01 2.100000000000000000e+01 8.385328787871562314e-04
2.150000000000000000e+01 2.150000000000000000e+01 7.958353756754127069e-04
2.200000000000000000e+01 2.200000000000000000e+01 7.569541289467174566e-04
2.250000000000000000e+01 2.250000000000000000e+01 7.214626741536328460e-04
2.300000000000000000e+01 2.300000000000000000e+01 6.889916333840949729e-04
2.350000000000000000e+01 2.350000000000000000e+01 6.592199212664443756e-04
2.400000000000000000e+01 2.400000000000000000e+01 6.318674729163926106e-04
2.450000000000000000e+01 2.450000000000000000e+01 6.066892029903942331e-04
2.500000000000000000e+01 2.500000000000000000e+01 5.834699655821324596e-04
2.550000000000000000e+01 2.550000000000000000e+01 5.620203316615543293e-04
2.600000000000000000e+01 2.600000000000000000e+01 5.421730373811089109e-04
2.650000000000000000e+01 2.650000000000000000e+01 5.237799852969841257e-04
2.700000000000000000e+01 2.700000000000000000e+01 5.067097032000448956e-04
2.750000000000000000e+01 2.750000000000000000e+01 4.908451831987912682e-04
2.800000000000000000e+01 2.800000000000000000e+01 4.760820379901145941e-04
2.850000000000000000e+01 2.850000000000000000e+01 4.623269226904937711e-04
2.900000000000000000e+01 2.900000000000000000e+01 4.494961797928847570e-04
2.950000000000000000e+01 2.950000000000000000e+01 4.375146722354714027e-04
3.000000000000000000e+01 3.000000000000000000e+01 4.263147755840122270e-04
3.050000000000000000e+01 3.050000000000000000e+01 4.158346283751357961e-04
3.100000000000000000e+01 3.100000000000000000e+01 4.060150568435129913e-04
3.150000000000000000e+01 3.150000000000000000e+01 3.968020198889247356e-04
3.200000000000000000e+01 3.200000000000000000e+01 3.881468482437079332e-04
3.250000000000000000e+01 3.250000000000000000e+01 3.800056175675778510e-04
3.300000000000000000e+01 3.300000000000000000e+01 3.723386050314286019e-04
3.350000000000000000e+01 3.350000000000000000e+01 3.651098169566025366e-04
3.400000000000000000e+01 3.400000000000000000e+01 3.582865771157846095e-04
3.450000000000000000e+01 3.450000000000000000e+01 3.518391669770968124e-04
3.500000000000000000e+01 3.500000000000000000e+01 3.457405105542871409e-04
3.550000000000000000e+01 3.550000000000000000e+01 3.399658976687841019e-04
3.600000000000000000e+01 3.600000000000000000e+01 3.344927403782089722e-04
3.650000000000000000e+01 3.650000000000000000e+01 3.293003581164155179e-04
3.700000000000000000e+01 3.700000000000000000e+01 3.243697877505712871e-04
3.750000000000000000e+01 3.750000000000000000e+01 3.196836153145384387e-04
3.800000000000000000e+01 3.800000000000000000e+01 3.152258266433129695e-04
3.850000000000000000e+01 3.850000000000000000e+01 3.109816745258195815e-04
3.900000000000000000e+01 3.900000000000000000e+01 3.069375603253135651e-04
